011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
011-MONGO-setup.csv,012-MONGO-multi-reads.csv,013-MONGO-single-bulk-read.csv,014-MONGO-multi-discount-update.csv,015-MONGO-search-discounted.csv,016-MONGO-teardown.csv
1.981742800,38.625129000,.351318500,42.924875700,3.762540000,.111874500
2.010254000,39.702548000,.348507200,42.774549200,.328550100,.108582400
1.945359300,39.847194300,.347021600,39.812570600,.324068900,.113031300
1.932522400,44.792462100,.342862100,38.642023100,3.615357700,.114347000
1.879044900,42.203811100,.338224500,38.573722700,.337425500,.108121300
1.882778100,39.078683000,.335434600,38.764814000,.328816600,.112377400
1.844450300,39.198334200,.332430100,38.425130600,3.517646600,.109810700
1.917907200,38.874194600,.329984400,38.814232500,.310924100,.110131300
1.850210600,38.876107400,.328865300,38.426497500,.306728100,.113479500
1.881281600,38.498142800,.351602400,38.119079500,3.651294400,.108085200
,38.575306500,.334550200,38.277504800,.306944600,
,38.731092900,.335698800,38.110083400,.308339700,
,38.884564200,.331630400,38.300332300,3.512821900,
,38.755910600,.328438400,38.035673200,.304605000,
,38.588559600,.334840700,38.319815400,.306858800,
,38.299108800,.349380800,37.938883300,3.545627300,
,38.763280600,.343968400,38.075452400,.311776600,
,38.570730600,.338400400,37.987221000,.313525800,
,38.572222500,.329832800,38.036834700,3.512395700,
,38.333371000,.327262700,38.131041500,.303698800,
,38.566862300,.328540100,37.844307700,.312007300,
,39.470642900,.339746000,38.014290600,3.586811400,
,38.765065900,.335804600,38.455719300,.324748700,
,38.533296700,.342891000,38.170088300,.322004200,
,38.541405400,.339318300,38.172309200,3.504053300,
,38.941162100,.338654400,38.357376300,.301176900,
,38.511196400,.339817500,38.297025600,.297771300,
,39.021944900,.333307900,38.244043000,3.537584500,
,38.512140500,.335328100,38.263914500,.299151500,
,38.476149500,.335962100,38.243430700,.296974400,
