021-MYSQL-setup.csv,022-MYSQL-multi-reads.csv,023-MYSQL-single-bulk-read.csv,024-MYSQL-multi-discount-update.csv,025-MYSQL-search-discounted.csv,026-MYSQL-teardown.csv
,10.300480700,.042973600,12.250139200,.039124300,
,10.168881500,.039742300,10.158483900,.040740500,
,10.207278400,.039773100,10.326932600,.039393300,
,10.255093400,.045732700,12.372076200,.039849000,
,10.240499900,.040126400,10.293837000,.038778300,
,10.306953700,.040344900,10.319654400,.040619300,
,10.308916700,.066235100,12.327424600,.040388300,
,10.243661600,.039836500,10.216730700,.039866400,
,10.193118600,.040317400,10.103606800,.040296300,
,10.408352600,.040791600,12.257018900,.039359400,
,10.170616500,.040780700,10.599021900,.041151700,
,10.210866700,.040134500,10.146682600,.039287600,
,10.339044200,.041607600,12.203966100,.041817400,
,10.232810900,.040166900,10.299582000,.041616100,
,10.590874900,.039609800,10.181688100,.040673000,
,10.264188400,.040438700,12.260726600,.040175700,
,10.553104000,.039730600,10.445710200,.039349300,
,10.368167700,.040636400,10.292537100,.040348000,
